"","Cell","Genotype","Sample","Target","Ct","Tm","Input","Mean_Ct","deltaCt","relative_exp"
"1","Th1","WT","Sample","Bcl2l11CNS-9_1",36.02,75.01,"Input",28.8433333333333,1.53281047689195,0.345603449679548
"2","Th1","WT","Sample","Bcl2l11CNS-9_2",34.93,73.39,"Input",26.55,2.73614381022527,0.150085466922658
"3","Th1","WT","Sample","Ifng+18",36.12,76.81,"Input",27.5933333333333,2.88281047689194,0.135577485398417
"4","Th1","WT","Sample","Il4ra-8",35.34,79.77,"Input",27.0933333333333,2.60281047689195,0.164617489209902
"5","Th1","WT","Sample","Il4ra-12",34.23,77.17,"Input",26.9,1.68614381022527,0.310756438966765
"6","Th1","WT","Sample","Gmpr",37.99,77.28,"Input",27.3433333333333,5.00281047689194,0.0311891819415994
"7","Th1","WT","Sample","Bcl2l11CNS-9_1",38.26,75.38,"Input",28.8433333333333,3.77281047689194,0.0731595252381193
"8","Th1","WT","Sample","Bcl2l11CNS-9_2",34.72,73.49,"Input",26.55,2.52614381022527,0.173602086165346
"9","Th1","WT","Sample","Ifng+18",36.78,76.46,"Input",27.5933333333333,3.54281047689194,0.0858040480684778
"10","Th1","WT","Sample","Il4ra-8",35.68,79.78,"Input",27.0933333333333,2.94281047689194,0.130054617131047
"11","Th1","WT","Sample","Il4ra-12",33.95,77.05,"Input",26.9,1.40614381022528,0.377318878486267
"12","Th1","WT","Sample","Gmpr",36.49,77.44,"Input",27.3433333333333,3.50281047689194,0.0882163282022638
"13","Th1","WT","Sample","Bcl2l11CNS-9_1",37.16,75.22,"Input",28.8433333333333,2.67281047689194,0.156820875363941
"14","Th1","WT","Sample","Bcl2l11CNS-9_2",34.44,73.45,"Input",26.55,2.24614381022527,0.210786764942271
"15","Th1","WT","Sample","Ifng+18",36.92,76.73,"Input",27.5933333333333,3.68281047689194,0.077868817225898
"16","Th1","WT","Sample","Il4ra-8",37.78,79.71,"Input",27.0933333333333,5.04281047689194,0.0303363121212386
"17","Th1","WT","Sample","Il4ra-12",34.12,77.13,"Input",26.9,1.57614381022527,0.335377123608498
"18","Th1","WT","Sample","Gmpr",39.54,77.51,"Input",27.3433333333333,6.55281047689194,0.0106514195268655
"19","Th1","KO","Sample","Bcl2l11CNS-9_1",34.21,75.4,"Input",28.64,-0.0738561897747241,1.05252623192632
"20","Th1","KO","Sample","Bcl2l11CNS-9_2",35.65,73.67,"Input",26.27,3.73614381022527,0.0750427334613288
"21","Th1","KO","Sample","Ifng+18",40,61.82,"Input",27.4,6.95614381022528,0.00805363715071346
"22","Th1","KO","Sample","Il4ra-8",40,83.23,"Input",26.6166666666667,7.73947714355861,0.00467934675497315
"23","Th1","KO","Sample","Il4ra-12",34.32,77.22,"Input",26.3933333333333,2.28281047689194,0.205497040664202
"24","Th1","KO","Sample","Gmpr",39.3,77.61,"Input",27.4233333333333,6.23281047689194,0.0132964923845534
"25","Th1","KO","Sample","Bcl2l11CNS-9_1",38,75.35,"Input",28.64,3.71614381022528,0.0760902909824707
"26","Th1","KO","Sample","Bcl2l11CNS-9_2",36.69,73.63,"Input",26.27,4.77614381022527,0.0364953429842515
"27","Th1","KO","Sample","Ifng+18",37.07,76.82,"Input",27.4,4.02614381022528,0.0613776061778236
"28","Th1","KO","Sample","Il4ra-8",36.23,79.88,"Input",26.6166666666667,3.96947714355861,0.0638363890235404
"29","Th1","KO","Sample","Il4ra-12",34.34,77.18,"Input",26.3933333333333,2.30281047689194,0.202667902179638
"30","Th1","KO","Sample","Gmpr",40,62.57,"Input",27.4233333333333,6.93281047689194,0.00818495115816305
"31","Th1","KO","Sample","Bcl2l11CNS-9_1",36.21,75.28,"Input",28.64,1.92614381022528,0.26313155798158
"32","Th1","KO","Sample","Bcl2l11CNS-9_2",40,74.68,"Input",26.27,8.08614381022528,0.00367983345852893
"33","Th1","KO","Sample","Ifng+18",40,62.45,"Input",27.4,6.95614381022528,0.00805363715071346
"34","Th1","KO","Sample","Il4ra-8",34.89,79.71,"Input",26.6166666666667,2.62947714355861,0.161602660683596
"35","Th1","KO","Sample","Il4ra-12",35.32,77.2,"Input",26.3933333333333,3.28281047689194,0.102748520332101
"36","Th1","KO","Sample","Gmpr",38.11,77.44,"Input",27.4233333333333,5.04281047689194,0.0303363121212386
