"","Cell","Sample","Target","Ct","Tm"
"1","Th1","WT","Bcl2l11CNS-9_1",36.02,75.01
"2","Th1","WT","Bcl2l11CNS-9_2",34.93,73.39
"3","Th1","WT","Ifng+18",36.12,76.81
"4","Th1","WT","Il4ra-8",35.34,79.77
"5","Th1","WT","Il4ra-12",34.23,77.17
"6","Th1","WT","Gmpr",37.99,77.28
"7","Th1","WT_input","Bcl2l11CNS-9_1",28.97,75.4
"8","Th1","WT_input","Bcl2l11CNS-9_2",26.35,73.9
"9","Th1","WT_input","Ifng+18",27.51,77.11
"10","Th1","WT_input","Il4ra-8",27.1,80.1
"11","Th1","WT_input","Il4ra-12",26.81,77.53
"12","Th1","WT_input","Gmpr",27.38,78.3
"13","Th1","WT","Bcl2l11CNS-9_1",38.26,75.38
"14","Th1","WT","Bcl2l11CNS-9_2",34.72,73.49
"15","Th1","WT","Ifng+18",36.78,76.46
"16","Th1","WT","Il4ra-8",35.68,79.78
"17","Th1","WT","Il4ra-12",33.95,77.05
"18","Th1","WT","Gmpr",36.49,77.44
"19","Th1","WT_input","Bcl2l11CNS-9_1",28.72,75.29
"20","Th1","WT_input","Bcl2l11CNS-9_2",26.64,73.72
"21","Th1","WT_input","Ifng+18",27.54,77.07
"22","Th1","WT_input","Il4ra-8",27.11,80.02
"23","Th1","WT_input","Il4ra-12",26.76,77.47
"24","Th1","WT_input","Gmpr",27.25,78.23
"25","Th1","WT","Bcl2l11CNS-9_1",37.16,75.22
"26","Th1","WT","Bcl2l11CNS-9_2",34.44,73.45
"27","Th1","WT","Ifng+18",36.92,76.73
"28","Th1","WT","Il4ra-8",37.78,79.71
"29","Th1","WT","Il4ra-12",34.12,77.13
"30","Th1","WT","Gmpr",39.54,77.51
"31","Th1","WT_input","Bcl2l11CNS-9_1",28.84,75.26
"32","Th1","WT_input","Bcl2l11CNS-9_2",26.66,73.72
"33","Th1","WT_input","Ifng+18",27.73,77.06
"34","Th1","WT_input","Il4ra-8",27.07,80.01
"35","Th1","WT_input","Il4ra-12",27.13,77.53
"36","Th1","WT_input","Gmpr",27.4,78.19
"37","Th1","KO","Bcl2l11CNS-9_1",34.21,75.4
"38","Th1","KO","Bcl2l11CNS-9_2",35.65,73.67
"39","Th1","KO","Ifng+18",40,61.82
"40","Th1","KO","Il4ra-8",40,83.23
"41","Th1","KO","Il4ra-12",34.32,77.22
"42","Th1","KO","Gmpr",39.3,77.61
"43","Th1","KO_input","Bcl2l11CNS-9_1",28.92,75.25
"44","Th1","KO_input","Bcl2l11CNS-9_2",26.09,73.76
"45","Th1","KO_input","Ifng+18",27.22,77.06
"46","Th1","KO_input","Il4ra-8",26.28,80.12
"47","Th1","KO_input","Il4ra-12",26.31,77.69
"48","Th1","KO_input","Gmpr",27.33,78.39
"49","Th1","KO","Bcl2l11CNS-9_1",38,75.35
"50","Th1","KO","Bcl2l11CNS-9_2",36.69,73.63
"51","Th1","KO","Ifng+18",37.07,76.82
"52","Th1","KO","Il4ra-8",36.23,79.88
"53","Th1","KO","Il4ra-12",34.34,77.18
"54","Th1","KO","Gmpr",40,62.57
"55","Th1","KO_input","Bcl2l11CNS-9_1",28.47,75.33
"56","Th1","KO_input","Bcl2l11CNS-9_2",26.45,73.81
"57","Th1","KO_input","Ifng+18",27.41,77.18
"58","Th1","KO_input","Il4ra-8",27.01,80.21
"59","Th1","KO_input","Il4ra-12",26.44,77.78
"60","Th1","KO_input","Gmpr",27.44,78.39
"61","Th1","KO","Bcl2l11CNS-9_1",36.21,75.28
"62","Th1","KO","Bcl2l11CNS-9_2",40,74.68
"63","Th1","KO","Ifng+18",40,62.45
"64","Th1","KO","Il4ra-8",34.89,79.71
"65","Th1","KO","Il4ra-12",35.32,77.2
"66","Th1","KO","Gmpr",38.11,77.44
"67","Th1","KO_input","Bcl2l11CNS-9_1",28.53,75.33
"68","Th1","KO_input","Bcl2l11CNS-9_2",26.27,73.8
"69","Th1","KO_input","Ifng+18",27.57,77.16
"70","Th1","KO_input","Il4ra-8",26.56,80.13
"71","Th1","KO_input","Il4ra-12",26.43,77.61
"72","Th1","KO_input","Gmpr",27.5,78.37
"73","Th1","NTC","Bcl2l11CNS-9_1",40,67.37
"74","Th1","NTC","Bcl2l11CNS-9_2",40,74.78
"75","Th1","NTC","Ifng+18",40,61.31
"76","Th1","NTC","Il4ra-8",40,74.99
"77","Th1","NTC","Il4ra-12",36.46,75.93
"78","Th1","NTC","Gmpr",40,62.72
